id,datovedt,distrikt,doklink
423691,20050922,Aakirkeby,https://dokument.plandata.dk/20_1126764_APPROVED_1286196093996.pdf
431300,20060326,Rønne,https://dokument.plandata.dk/20_1126772_APPROVED_1233827984234.pdf
435180,20060328,Rønne,https://dokument.plandata.dk/20_1126777_APPROVED_1233828604500.pdf
591800,20060618,NA,https://dokument.plandata.dk/20_1124627_1719915202406.pdf
422987,20060831,Rønne,https://dokument.plandata.dk/20_1126855_APPROVED_1233840012843.pdf
429060,20061012,Rønne,https://dokument.plandata.dk/20_1126780_APPROVED_1365498161210.pdf
562404,20061012,NA,https://dokument.plandata.dk/20_1113123_APPROVED_1225890922508.pdf
433723,20061221,NA,https://dokument.plandata.dk/20_1113117_APPROVED_1225890436230.pdf
434149,20070830,Nexø,https://dokument.plandata.dk/20_1039914_APPROVED_1373274585153.pdf
423334,20070920,Gudhjem,https://dokument.plandata.dk/20_1122523_APPROVED_1232365670281.pdf
338252,20071011,NA,https://dokument.plandata.dk/20_1046360_APPROVED_1211183614828.pdf
609136,20071129,NA,https://dokument.plandata.dk/20_1052318_APPROVED_1198163032666.pdf
426603,20080124,NA,https://dokument.plandata.dk/20_1053622_APPROVED_1203500524584.pdf
556519,20080424,NA,https://dokument.plandata.dk/20_1053815_APPROVED_1213945949061.pdf
498772,20080529,NA,https://dokument.plandata.dk/20_1071438_APPROVED_1212569920839.pdf
562402,20080529,Gudhjem,https://dokument.plandata.dk/20_1053621_APPROVED_1294923898508.pdf
442867,20080828,Rutsker,https://dokument.plandata.dk/20_1062579_APPROVED_1220433012201.pdf
338244,20081218,Nexø,https://dokument.plandata.dk/20_1104516_APPROVED_1231411856394.pdf
434595,20090219,Svaneke,https://dokument.plandata.dk/20_1085615_APPROVED_1236691546841.pdf
433508,20090326,Rønne,https://dokument.plandata.dk/20_1117825_APPROVED_1238657909102.pdf
591835,20090430,Sandvig,https://dokument.plandata.dk/20_1115975_1719918428243.pdf
527166,20090827,NA,https://dokument.plandata.dk/20_1162823_APPROVED_1254820594997.pdf
434843,20091008,Rønne,https://dokument.plandata.dk/20_1183212_APPROVED_1257498087595.pdf
442885,20091126,Rønne,https://dokument.plandata.dk/20_1221437_APPROVED_1291372106345.pdf
338237,20100826,Rønne,https://dokument.plandata.dk/20_1359258_APPROVED_1283241287277.pdf
433227,20100923,Sandvig,https://dokument.plandata.dk/20_1359927_APPROVED_1285318788621.pdf
338234,20101014,Rønne,https://dokument.plandata.dk/20_1359952_APPROVED_1287742222260.pdf
423762,20101014,Rønne,https://dokument.plandata.dk/20_1360471_APPROVED_1287393904480.pdf
338232,20101125,Rønne,https://dokument.plandata.dk/20_1363685_APPROVED_1292833339939.pdf
433890,20101125,Rønne,https://dokument.plandata.dk/20_1363686_APPROVED_1293025841822.pdf
338229,20110127,Rønne,https://dokument.plandata.dk/20_1366993_APPROVED_1296485657115.pdf
425387,20110630,Bornholm,https://dokument.plandata.dk/20_1372408_APPROVED_1310464441173.pdf
422972,20110630,Hasle,https://dokument.plandata.dk/20_1374312_APPROVED_1310464808233.pdf
507278,20110630,Rønne,https://dokument.plandata.dk/20_1372406_1624622591645.pdf
434415,20110922,NA,https://dokument.plandata.dk/20_1374806_APPROVED_1317645543278.pdf
376578,20110922,Allinge,https://dokument.plandata.dk/20_1376257_APPROVED_1317646067084.pdf
433972,20110922,NA,https://dokument.plandata.dk/20_1376664_APPROVED_1317646127239.pdf
422470,20111013,Bornholm,https://dokument.plandata.dk/20_1372793_APPROVED_1321959130359.pdf
426425,20120301,Rønne,https://dokument.plandata.dk/20_1425422_APPROVED_1331037511473.pdf
338220,20120329,Rønne,https://dokument.plandata.dk/20_1456357_APPROVED_1334732497860.pdf
442796,20120426,Hasle,https://dokument.plandata.dk/20_1467088_APPROVED_1337085124936.pdf
338218,20121220,Rønne,https://dokument.plandata.dk/20_1482643_APPROVED_1357813563754.pdf
425075,20121220,NA,https://dokument.plandata.dk/20_1493171_APPROVED_1359552587456.pdf
433966,20130404,Rønne,https://dokument.plandata.dk/20_1793679_APPROVED_1365493048556.pdf
423216,20130404,Aakirkeby,https://dokument.plandata.dk/20_1793680_APPROVED_1365421294188.pdf
426580,20130627,Nexø,https://dokument.plandata.dk/20_2213981_APPROVED_1373274065459.pdf
338213,20130829,Allinge,https://dokument.plandata.dk/20_2117631_1382513508650.pdf
422651,20131010,NA,https://dokument.plandata.dk/20_1551862_1384508877427.pdf
434866,20131010,Nexø,https://dokument.plandata.dk/20_2534564_1384508915974.pdf
433111,20140327,NA,https://dokument.plandata.dk/20_2738255_1396509083190.pdf
434935,20140424,Rønne,https://dokument.plandata.dk/20_2746969_1398412540377.pdf
562425,20140522,NA,https://dokument.plandata.dk/20_2738254_1401193367661.pdf
527143,20140626,Allinge,https://dokument.plandata.dk/20_2860283_1404110936660.pdf
376579,20140626,Nexø,https://dokument.plandata.dk/20_2842730_1404111923581.pdf
423697,20140626,NA,https://dokument.plandata.dk/20_2842729_1404112469863.pdf
426579,20150226,Rønne,https://dokument.plandata.dk/20_2964970_1426147441507.pdf
434104,20150914,NA,https://dokument.plandata.dk/20_3003804_1442908870235.pdf
423130,20151119,NA,https://dokument.plandata.dk/20_3002226_1450342886363.pdf
338202,20151119,NA,https://dokument.plandata.dk/20_3010125_1448445092445.pdf
424408,20151217,Allinge,https://dokument.plandata.dk/20_2994614_1455181419155.pdf
558421,20160201,NA,https://dokument.plandata.dk/20_3015281_1455010443476.pdf
433496,20160225,NA,https://dokument.plandata.dk/20_3022499_1456474598128.pdf
338197,20160922,NA,https://dokument.plandata.dk/20_3156876_1476779644560.pdf
422244,20170109,NA,https://dokument.plandata.dk/20_3248200_1486378304037.pdf
423684,20170126,Svaneke,https://dokument.plandata.dk/20_3248198_1486462918688.pdf
426567,20170223,Snogebæk,https://dokument.plandata.dk/20_3248199_1494838823937.pdf
550572,20170330,NA,https://dokument.plandata.dk/20_3286519_1599549601962.pdf
338190,20170427,NA,https://dokument.plandata.dk/20_3288500_1493972137126.pdf
426576,20170921,NA,https://dokument.plandata.dk/20_3688839_1506931987243.pdf
433169,20170921,NA,https://dokument.plandata.dk/20_3699570_1506670080033.pdf
338186,20171012,NA,https://dokument.plandata.dk/20_3699571_1514996808328.pdf
372540,20181011,Øvrige Bornholm,https://dokument.plandata.dk/20_3826304_1540295184263.pdf
415020,20190220,Allinge,https://dokument.plandata.dk/20_9550580_1552472829876.pdf
521643,20190328,Nexø,https://dokument.plandata.dk/20_9548587_1640081209170.pdf
561376,20190627,Tejn,https://dokument.plandata.dk/20_9628755_1562923730109.pdf
451600,20190911,Svaneke,https://dokument.plandata.dk/20_9636965_1568291895561.pdf
457164,20191007,Rønne,https://dokument.plandata.dk/20_9654888_1572352790551.pdf
466579,20191010,Svaneke,https://dokument.plandata.dk/20_9639705_1578657313034.pdf
457156,20191010,Rønne,https://dokument.plandata.dk/20_9654909_1572352303179.pdf
463443,20191120,Rønne,https://dokument.plandata.dk/20_9680967_1576586198464.pdf
476534,20200311,Rønne,https://dokument.plandata.dk/20_9704477_1587983579219.pdf
523980,20200326,Øvrige Bornholm,https://dokument.plandata.dk/20_9698662_1643708856460.pdf
550399,20200626,Allinge,https://dokument.plandata.dk/20_9723640_1671098762530.pdf
590001,20200903,Rønne,https://dokument.plandata.dk/20_9732858_1718873928388.pdf
486810,20200909,Allinge,https://dokument.plandata.dk/20_9997579_1600075101634.pdf
546717,20200909,Øvrige Bornholm,https://dokument.plandata.dk/20_10053914_1601888564685.pdf
491929,20201008,Allinge,https://dokument.plandata.dk/20_10110210_1605856448946.pdf
499676,20210210,Svaneke,https://dokument.plandata.dk/20_10127761_1616593179375.pdf
502494,20210429,Øvrige Bornholm,https://dokument.plandata.dk/20_10493919_1620108897007.pdf
507174,20210624,Rønne,https://dokument.plandata.dk/20_10695238_1624600298843.pdf
520306,20211208,Nexø,https://dokument.plandata.dk/20_10820356_1639558062244.pdf
525110,20220216,Øvrige Bornholm,https://dokument.plandata.dk/20_10893825_1645084863459.pdf
529365,20220331,Øvrige Bornholm,https://dokument.plandata.dk/20_10914974_1649074699804.pdf
534752,20220428,Rønne,https://dokument.plandata.dk/20_10907131_1655197641974.pdf
535010,20220428,Rønne,https://dokument.plandata.dk/20_10914840_1655291872687.pdf
536742,20220627,Sandvig,https://dokument.plandata.dk/20_11016373_1656425704651.pdf
556735,20230208,Øvrige Bornholm,https://dokument.plandata.dk/20_10840513_1678102147648.pdf
